Log: 24-May-23 12:56:54 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:04 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:04 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:04 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:04 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:05 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:06 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:06 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:06 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:06 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:06 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 12:57:07 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 13:04:36 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users. 
Log: 24-May-23 13:04:48 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users. 
Log: 24-May-23 13:04:48 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 13:04:48 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/auth/session. 
Log: 24-May-23 13:14:18 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/auth/session. 
Log: 24-May-23 13:14:53 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users/dashboard. 
Log: 24-May-23 13:14:53 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/users. 
Log: 24-May-23 13:14:53 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/auth/session. 
Log: 24-May-23 13:15:02 : 6464e0863ce2a377ed63ec96, traam@admin.com requested /api/auth/logout. 
